SSDSE-E-2024,Prefecture,A1101,A1102,A1301,A1302,A1303,A1700,A4101,A4103,A4200,A5101,A5102,A710101,A710201,A810105,A9101,A9201,B1101,B1103,B2101,C1121,C1221,C122101,C2108,C210836,C210837,C210839,C210841,C210847,C210848,C210850,C2208,C220836,C220837,C220839,C220841,C220847,C220848,C220850,C310201,C310202,C3107,C3801,C3802,E1101,E1501,E2101,E2501,E3101,E3501,E4101,E4501,E6101,E6102,E6301,E6302,G1201,G1401,G1501,G1604,G3102,G3201,G5101v2,G5105,G7101,G7102,H1100,H110202,H1310,H1401,H2130,H5507,H550701,H5609,H5610,H5614,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506,L3221,L322101,L322102,L322109
R08000,茨城県,2840000,2767000,321000,1655000,864000,57819,16502,1.30,33814,47981,46817,1181598,2802960,385760,10021,4059,609754,388890,90896,14092237,9347762,3247,108602,14004,9826,846,26387,11100,10426,8121,1237104,84040,279017,19466,225563,81979,50919,156690,43920,27841,160700,925,29155,206,17867,451,132729,224,71211,117,70422,3,11,641,27613,227,67,25,37,1158,706,11,20145,4689760,49540,1328900,197200,801700,814800,107.79,2890169,192191,1005806,953,20.7,19962,9210,447,152,1780,1378,5838,1979,6704,627,56249,298053,71578,18805,25789
R09000,栃木県,1909000,1865000,217000,1121000,572000,37408,11475,1.31,22712,31159,32780,795449,1891685,261757,7127,2799,640809,300506,133443,9261942,6512096,3351,80062,8776,8064,519,19572,9099,7365,6420,870819,54688,211289,7421,159007,68355,37472,111665,31993,14209,121400,1392,36298,74,8433,345,93088,161,50467,75,48458,6,9,1455,20474,183,55,25,27,931,569,8,12328,7592990,44030,926700,160700,526100,545000,106.54,1945283,98493,648103,913,15.7,14556,7302,286,89,1480,957,4773,1387,4350,438,40943,297278,80971,20869,24831
R10000,群馬県,1913000,1850000,216000,1108000,589000,53432,11236,1.35,24304,27362,29053,803215,1884909,260100,6787,2842,636228,226902,88868,9308340,6406945,3288,85003,9424,9737,598,19722,8884,7576,7170,895790,56301,225230,8619,164361,62191,33022,121602,19405,22870,64900,1154,29574,114,7444,303,91975,160,49930,77,47157,7,15,1474,28803,218,56,26,43,1174,538,8,10870,5641150,36250,949000,158300,561700,581400,107.14,1947506,81345,687877,968,14.5,14620,7124,292,115,1587,979,4735,1421,4130,468,45119,310407,77510,19647,28953
R11000,埼玉県,7337000,7136000,847000,4483000,2007000,161439,45424,1.22,75164,164381,145111,3157627,7204956,1072139,28345,10626,379775,260309,124582,23642796,22305884,3038,230278,25560,23810,2173,51720,23094,20345,21744,2602009,167346,453626,24759,531109,205396,102685,391310,27588,18875,73300,688,24504,503,75621,806,359989,447,186440,193,161843,12,27,3615,109020,490,174,26,76,1759,1774,28,70070,4131450,43700,3384700,346200,1987700,1656900,87.15,7389925,76440,2269529,841,24.2,37407,19792,1008,297,4470,3550,13604,5575,16370,1474,123008,324793,87922,21820,35050
R12000,千葉県,6266000,6100000,717000,3796000,1753000,142177,38426,1.21,65244,144533,125793,2767661,6166145,1003440,24234,9011,515674,353303,28537,21279583,19211844,3058,182689,20004,10411,1960,42852,20661,17538,18106,2151386,146352,237440,30444,446932,191703,118788,335058,34261,16565,121500,1256,59684,459,61885,759,303407,388,157236,181,139061,8,27,2942,108807,283,144,44,52,1510,1617,25,72562,20889150,785630,3029800,382500,1724100,1400400,89.74,6315205,116233,2027937,880,22.7,31959,17137,880,255,3838,3194,13396,5221,14823,1288,108253,304582,84638,17470,30015
R13000,東京都,14038000,13443000,1535000,9301000,3202000,483372,95404,1.08,127649,399269,365360,7216650,13839178,3625810,69813,19605,219405,142280,79889,115682412,80635641,5757,628239,41348,38766,28503,141055,76127,43692,52683,9592059,484543,561902,1085934,1968705,735786,318875,912794,4606,4961,6290,3654,205327,969,122669,1327,624426,801,313353,429,299950,36,144,8639,678207,80,401,113,132,2229,3937,85,309458,50915670,5627190,7671600,809900,3063000,1820900,65.90,13818285,14181,4182454,829,24.4,86800,66547,2226,587,14327,10678,48072,17245,52842,3523,290125,321633,87973,29988,33099
R14000,神奈川県,9232000,8991000,1053000,5797000,2383000,195535,58836,1.22,89701,214924,192432,4210122,9059878,1650991,38664,13169,241632,147405,55138,35205391,29505358,3199,285325,28997,17326,4888,61012,32933,22950,31373,3525744,208570,438054,126045,673439,311021,134781,566526,10479,10811,18000,1330,56493,616,89843,882,446637,473,225380,231,193066,13,31,4704,173109,161,85,51,71,1585,2105,27,139855,16558430,462280,4503500,484700,2362000,1655500,78.24,9223214,21675,2757789,819,24.7,45290,27988,1246,290,6996,4984,21377,7605,23872,2012,165014,301379,85076,23065,29394
R15000,新潟県,2153000,2136000,235000,1195000,722000,15028,12608,1.32,30990,20558,26522,862796,2141206,266182,7088,2617,1258396,455017,316891,9185179,6563409,2951,103861,12326,10138,813,25467,11332,9818,7797,1004621,94206,196131,12149,203321,74052,38979,135383,41751,20805,167700,1984,44410,70,3525,441,101894,230,52709,101,50345,5,22,1273,27893,357,79,37,48,1410,436,10,8233,6739470,57190,994500,146200,625000,627500,128.95,2191661,84733,798354,998,20.5,18729,8557,333,104,1679,1130,4803,2076,4514,720,57964,295332,80495,18918,24800
R16000,富山県,1017000,998000,111000,570000,335000,16326,6076,1.42,13650,11818,13332,403007,1007734,119523,3548,1164,424754,184223,125554,4910232,3459637,3316,48987,5420,4702,442,12270,4886,4426,3684,508283,38526,131286,7665,91281,33986,17872,61144,11323,5991,57900,374,15248,30,1741,178,46879,76,25690,49,25394,2,5,1022,11017,268,56,37,25,653,230,5,5241,2650130,23990,452600,60000,300100,301400,145.17,1038997,28627,391546,1032,22.3,9082,3960,135,87,763,437,2832,650,2855,295,28929,316801,83483,14845,30155
R17000,石川県,1118000,1102000,132000,648000,338000,13685,7258,1.38,13214,16411,18574,468835,1097311,162531,4214,1380,418623,139466,52564,4779462,3386886,2973,56437,5808,6328,597,13686,6452,4701,3969,543315,38327,108811,10892,111987,47737,20299,67835,9263,6611,40400,741,28812,45,4042,202,55923,89,29950,56,28974,4,14,1271,27683,290,41,31,28,715,268,6,6397,6082860,80750,535800,77800,315500,317500,126.60,1126387,24270,371540,904,15.0,9730,5208,156,78,884,479,3486,739,2829,350,33280,305812,83476,13869,33376
R18000,福井県,753000,738000,92000,426000,235000,13796,5223,1.57,9721,8439,10970,290692,746456,86282,2821,1018,419058,107734,61912,3694563,2564975,3325,39859,4521,4746,341,9510,4759,3366,2586,373974,31696,80836,5157,69965,29487,12821,47484,9777,6281,39700,909,15539,63,975,193,38444,81,20942,32,20535,1,6,427,9966,206,37,22,19,482,128,4,4030,2221950,10790,325400,45000,209200,214200,138.43,768976,30193,259733,925,13.3,6992,3619,111,57,578,301,2074,465,1489,284,24998,274299,75027,6220,22948
R19000,山梨県,802000,784000,89000,460000,252000,13993,4966,1.43,10107,13587,13599,338057,789586,110192,2974,1155,446527,95310,121207,3566046,2547409,3125,40814,4170,4091,336,9216,5663,3469,3048,366260,24637,77913,4621,69692,36785,16093,48887,14178,13808,23200,1323,26600,55,3472,177,38141,92,20564,40,22070,3,7,886,16035,284,53,21,22,588,219,4,5542,4543080,121830,422000,90000,231000,243000,111.94,817365,33489,284028,952,16.6,6976,4080,141,52,750,428,2101,592,1852,231,20612,285583,74848,20419,22772
R20000,長野県,2020000,1984000,235000,1129000,657000,31491,12514,1.44,26001,27822,27962,829979,1998549,257508,7347,2667,1356156,324893,277933,8454339,6025493,2924,99571,10675,9766,949,22746,13597,8188,7411,929898,63789,215969,12599,174971,82961,35431,126732,40510,49276,104800,2585,63598,91,8338,363,100506,196,53834,99,51425,8,11,2207,17172,1789,120,83,47,1828,470,16,12167,10882290,125960,1007900,197300,574700,590500,121.62,2056667,114686,600307,800,22.6,17067,9345,344,111,1605,994,5217,1658,4603,566,47018,298965,75688,17433,26853
R21000,岐阜県,1946000,1888000,231000,1111000,604000,48979,11730,1.40,24126,25126,29787,779029,1937236,228715,6589,2578,1062129,221063,195093,7936830,6046598,3035,92210,9708,12132,559,21788,10697,7758,7286,884667,60279,219331,6612,169131,72424,35466,117310,19924,29012,54800,1075,25738,149,17132,359,100028,182,53594,82,49435,11,13,3360,20269,281,72,23,46,1083,627,6,12312,4106040,65500,893900,139800,557100,558400,121.77,1961625,79997,625586,874,16.3,16086,8902,242,85,1630,959,4580,1735,4060,415,38709,313314,77357,13720,27226
R22000,静岡県,3582000,3484000,417000,2064000,1101000,86046,21571,1.36,43194,48811,54849,1480969,3551043,472201,13341,5162,777702,277441,84045,17866284,12445629,3407,161789,16470,17620,1387,38644,18752,14040,12538,1730955,102701,441001,20605,315878,142314,62865,204400,24426,26310,60400,2654,70019,340,27734,500,180387,288,97183,138,89919,5,14,1748,33679,50,96,43,53,1267,908,17,26450,14910840,125750,1714700,281600,955300,940700,103.15,3663938,59698,1127120,843,18.7,28140,15115,568,139,2750,1751,8271,2376,8485,683,65880,300439,83217,12874,28300
R23000,愛知県,7495000,7228000,948000,4628000,1920000,231369,53918,1.41,73769,103743,108916,3233126,7412091,1175221,33509,11130,517324,299593,88881,40910717,27666218,3661,299232,27164,32549,3873,70359,33907,23871,24849,3818542,217282,908754,89548,734065,291069,133282,413770,25906,35149,72900,1236,69448,399,62736,968,401581,438,208568,220,183404,18,52,5541,176874,327,97,43,81,1735,1764,29,74322,13773700,301640,3481800,393800,1826000,1564800,95.01,7535157,94001,2412295,877,22.3,46122,29431,1094,283,5556,3718,17842,6159,16003,1558,148009,319344,79757,22575,30894
R24000,三重県,1742000,1689000,204000,1008000,531000,44721,10980,1.43,21639,25059,28934,741183,1728038,244698,6474,2508,577448,206414,208394,8086393,5328327,2989,72261,7422,6789,469,17456,8007,6125,5977,798103,46857,207911,5707,142069,63978,30097,107481,18062,15468,57000,1285,30646,157,11004,366,88413,167,46987,70,43328,4,7,1378,13850,312,47,21,35,624,439,10,10979,5831110,40090,853700,129600,518700,524900,110.42,1785633,88701,611390,938,20.0,13337,6361,250,82,1530,813,4298,1180,3550,426,41891,277102,72106,15488,26321
R25000,滋賀県,1409000,1373000,186000,845000,378000,28704,10130,1.46,13674,25974,25462,570529,1391113,182011,5733,1887,401738,129957,149957,6922569,4705886,3323,53748,5472,5143,384,12061,5291,4357,4733,617826,30556,165973,3748,110072,48564,21722,80398,13807,8164,50500,489,15013,125,9407,220,79371,103,40932,56,36222,3,9,873,31602,78,51,15,35,548,347,8,12344,3303410,36550,626000,81200,389000,366100,115.49,1415655,38907,418030,809,17.1,9361,4211,229,51,1132,565,3496,838,3352,335,34837,319456,84692,22303,29266
R26000,京都府,2550000,2485000,282000,1512000,755000,52442,15818,1.22,28316,52400,55735,1188903,2523758,489815,9417,3658,461220,117729,94896,10846020,7788706,3005,110564,8588,11992,1223,26212,13840,8422,9299,1148970,52159,180810,19435,239889,115266,41805,176055,13616,11337,29500,1013,49375,194,19082,365,118394,189,64365,108,66038,9,34,2762,145230,144,68,38,33,638,592,13,28570,18114080,1109250,1338300,171800,710400,641200,86.93,2576036,71823,728410,775,13.9,19321,11460,403,151,2482,1286,9156,1973,6828,512,55412,299924,84056,22849,27799
R27000,大阪府,8782000,8524000,1002000,5349000,2432000,208681,59780,1.27,97282,156398,148994,4126995,8659723,1727107,39005,14594,190534,133407,20039,41188364,27014540,3055,384332,27254,38943,6909,90008,44729,27032,38092,4528208,242668,593281,182399,970064,362394,152666,648267,7413,13400,12200,1558,119230,535,67972,986,416847,515,219494,254,202876,22,58,8059,230544,197,155,38,69,1194,2012,36,100106,26996430,1813240,4680200,709400,2160900,1607400,76.98,8806260,104969,2929670,911,13.3,54764,39358,1355,470,8680,5442,26431,8184,27297,1573,172365,265161,80890,18350,25978
R28000,兵庫県,5402000,5287000,644000,3151000,1608000,87280,35581,1.36,61980,84235,90225,2399358,5355504,862511,20938,8184,840094,276946,166081,22195171,16669740,3038,203113,16634,16573,1800,47973,25617,16729,20248,2221469,110274,401351,26824,436975,194110,85553,352550,37025,30099,72400,1447,47299,446,39222,742,275186,376,141997,205,125676,15,35,4755,115030,280,107,36,62,1118,1517,24,55809,10807250,115640,2680900,360200,1495900,1164400,93.40,5490786,79681,1793989,895,15.4,35621,21971,815,314,5192,2971,15133,4141,15663,1090,107185,298485,81920,22153,31637
R29000,奈良県,1306000,1291000,148000,735000,423000,11505,7751,1.30,15573,22265,23977,543908,1292985,159204,4435,1837,369094,85389,63328,3925192,3636954,2728,45583,3574,4228,334,10853,4649,3872,4764,444916,21134,70496,2278,92250,39555,20017,90110,10616,11334,19600,409,10232,143,9317,190,63595,107,34811,58,31582,3,11,1276,20025,348,33,22,31,489,320,6,11696,1565720,18490,617600,87200,392000,357800,110.87,1336428,53096,430693,883,15.8,8658,3753,184,71,1223,681,3810,957,3287,221,26388,303376,82006,25605,29540
R30000,和歌山県,903000,896000,101000,495000,307000,6029,5514,1.43,12930,11077,13431,393489,896425,127908,3264,1442,472469,112339,59699,3744551,2780913,2986,45309,4235,3526,268,11385,5221,3959,4361,378695,24952,60800,2870,77638,33631,14645,67999,17250,8013,31300,669,16923,65,3998,246,43055,127,23436,47,22667,1,5,291,8296,251,27,13,19,442,162,5,4601,3283330,30010,485200,98400,280300,284600,105.72,936236,146499,317619,929,13.2,8842,4192,137,75,1021,525,2941,727,2400,194,19200,263910,68715,8609,21614
R31000,鳥取県,544000,539000,66000,298000,180000,4310,3708,1.51,7605,7967,9279,219069,535393,70641,1977,788,350713,90432,49061,1893375,1359544,2439,24242,2217,1467,234,6116,2887,2398,2253,230055,17467,34804,3171,46014,19494,8809,41538,13911,9195,33700,334,9782,19,1719,117,27650,57,14179,32,14124,1,3,521,6718,173,30,7,13,495,105,2,2059,1700080,8480,256600,39900,148400,152800,121.52,551818,31429,201555,1001,28.5,4688,2280,69,39,491,254,1871,369,1229,185,16536,272862,69588,19750,22670
R32000,島根県,658000,648000,79000,350000,229000,8230,4415,1.62,9851,9637,11073,268462,645246,89036,2337,863,670766,127094,40496,2689278,1999075,2951,32637,3390,2099,252,8218,3271,3021,2950,296596,26155,44821,3371,57786,20706,10499,53421,14397,12789,36000,386,10563,80,2280,197,32892,95,16817,47,17042,1,2,163,7268,156,41,21,20,524,89,3,2106,2395940,8260,314200,48300,185800,189800,123.08,666659,102249,228780,940,20.3,6354,2536,82,38,709,254,2108,409,1429,298,20896,278522,72412,15182,25736
R33000,岡山県,1862000,1832000,225000,1063000,574000,25116,13107,1.45,22857,26002,29507,799611,1836335,284926,7399,2781,711477,222871,80664,7842490,5299276,2794,78646,8253,6376,713,19505,7637,6744,6999,838870,59984,163799,11395,160365,58112,27847,134774,27937,22798,62300,681,21839,207,10791,383,96499,164,50145,86,48516,8,18,2054,38921,394,70,33,39,792,405,7,10059,4024090,38870,916300,142500,500100,513800,105.64,1880411,180453,633566,923,24.1,14312,6223,285,143,1636,1001,6290,1807,4281,457,47237,303131,73521,19856,25271
R34000,広島県,2760000,2708000,340000,1594000,826000,47733,18636,1.42,31774,41546,47590,1241204,2725202,462961,11116,4017,847900,229808,37857,11969086,8869052,3153,122155,11370,9429,1264,30092,13344,10200,10739,1303624,87579,230685,23310,269673,92954,46624,192952,20861,24474,51800,713,31926,213,18191,466,145103,263,75065,128,67289,4,21,1393,55110,242,86,30,47,1039,569,15,17722,7051620,101690,1430700,215600,742600,670600,93.52,2794941,206412,894447,877,20.4,20747,11417,453,204,2534,1518,7805,2612,7332,689,64330,291402,78205,23406,27043
R35000,山口県,1313000,1297000,147000,704000,462000,14378,7978,1.49,19406,20738,23502,597309,1293822,218208,4773,1875,611250,171512,42971,6350497,4407379,3249,56452,5961,3241,435,14589,5986,5148,5213,574259,44055,100988,4962,114931,43587,21495,100082,14837,12501,43800,609,17653,156,12263,298,63826,161,33482,78,30248,5,10,804,18349,160,55,24,36,714,303,6,6543,3068580,24240,719900,126800,396500,398900,102.30,1343183,94378,477046,973,32.5,11222,4797,192,114,1249,651,3682,991,3498,301,23223,315225,73441,22155,23113
R36000,徳島県,704000,698000,75000,382000,246000,5033,4337,1.44,10465,8906,10789,307358,693391,109570,2457,1077,414699,101628,38706,3222366,2294387,3153,34119,3226,2327,249,8413,3903,3177,3154,304530,20972,52660,3061,58794,23425,11499,58082,14059,11060,27800,466,9519,94,4134,187,33820,89,17147,37,16432,3,4,612,11647,318,29,11,13,347,135,1,3083,1424610,11800,380700,74100,211300,215900,111.05,728227,47773,252556,950,16.6,6508,3088,79,91,701,425,2567,849,2619,211,16403,283864,71064,17883,26543
R37000,香川県,934000,920000,110000,522000,302000,10854,6223,1.51,12329,15118,17291,406062,920852,139818,3668,1439,187691,100507,20534,4008678,2893070,3021,44943,4261,3783,405,11378,4877,3690,3512,431667,31485,77328,6391,89793,33326,15986,60732,15942,13280,29000,343,13665,108,7450,159,48312,74,25469,40,24212,3,4,723,9148,153,30,15,14,474,211,5,4655,2888310,25930,487700,88200,275400,268600,108.58,966805,66060,300190,851,19.4,7957,4033,163,78,850,472,2886,739,2510,223,21999,280367,70445,16488,23827
R38000,愛媛県,1306000,1294000,147000,716000,443000,11159,8011,1.40,18770,16724,20121,599941,1295030,224773,4571,1881,567598,166580,41121,5148271,3657892,2717,59710,5925,4529,510,15214,6546,5405,5302,562714,42054,91837,8486,114243,43558,21581,95810,20639,14355,45300,436,16841,117,9460,280,65092,132,33184,65,30733,5,5,876,16546,433,44,25,27,650,256,9,5564,3214240,24490,714300,129800,386400,397300,99.95,1344532,107590,432162,881,16.1,11195,5383,197,121,1207,658,3847,943,3024,313,24543,245054,67889,17559,22447
R39000,高知県,676000,671000,72000,360000,244000,4220,4090,1.45,10423,8746,10228,314330,663963,122867,2332,1043,710291,116057,47504,2464567,1861945,2663,33064,2894,2090,252,8753,4751,3208,2905,275477,22182,27621,3594,60566,26944,11377,56449,12173,7751,25800,356,10465,36,2167,223,30772,124,16480,46,16853,1,5,462,9379,197,40,17,14,381,106,2,2807,1965520,6610,391600,74600,204700,213100,95.32,694194,94510,242044,955,20.3,6840,3785,103,111,532,350,2305,497,1787,248,18394,284828,73112,20872,22873
R40000,福岡県,5116000,5030000,654000,3013000,1449000,66699,37540,1.37,56410,98913,90027,2318479,4986247,942993,22009,8564,498764,276451,88101,19942412,14573107,2838,210530,19769,11417,3180,54567,24756,17527,21144,2309989,157435,250689,63139,484405,195226,83225,394940,27187,14164,78900,1186,58806,415,51368,720,278438,361,140593,163,122898,18,35,5798,109610,296,114,30,76,1284,1185,23,43093,12506820,528180,2581200,328600,1182600,991200,84.66,5109835,356198,1726567,926,20.8,37018,20975,700,391,4780,3068,16784,5672,12714,1054,117582,286265,75957,20020,28318
R41000,佐賀県,801000,793000,105000,444000,251000,5940,5853,1.56,10145,15003,16131,311173,781601,94280,2992,1187,244067,133457,26884,3219595,2330734,2854,35815,3376,2666,236,9320,4172,3080,3464,360756,26655,66085,3478,68287,28061,13175,67063,13293,5352,50200,339,9354,48,3123,163,43497,91,23334,44,22054,3,2,771,7633,115,31,13,15,491,156,3,4016,1736490,16600,352100,50500,201000,207700,112.48,812917,132044,260047,876,19.8,7148,3435,88,83,703,408,2445,617,1952,260,23574,273822,69993,22275,21053
R42000,長崎県,1283000,1272000,158000,690000,435000,8316,8862,1.60,18248,20952,26125,556130,1259784,191470,4704,1825,413099,166798,74091,4789758,3523657,2655,58382,5502,3556,390,15456,6899,5345,6058,525985,40658,62362,5423,107763,44188,20518,111684,17329,10953,45700,614,21715,101,7231,320,67941,184,35388,79,33735,2,8,692,16875,150,40,16,37,817,174,4,6388,5256890,90080,659500,101500,353900,357700,97.20,1321574,251677,461719,957,16.3,11948,5501,169,121,1348,709,4399,1203,2954,492,35679,271129,73489,23124,17601
R43000,熊本県,1718000,1699000,223000,943000,552000,14591,12670,1.59,22093,27636,28292,716740,1678793,242940,6577,2677,740918,274668,155636,6363425,4747364,2714,72744,7351,3978,572,18834,8033,6590,7063,716508,53546,97524,8026,145168,58622,27690,142823,32529,15350,105900,1015,28176,100,7556,334,95774,172,49051,73,43605,2,9,679,24537,315,52,19,35,907,300,10,9305,5068710,81880,813700,111900,432300,440600,99.57,1747473,136231,555605,871,20.2,14326,6339,172,168,1476,835,5415,1377,4036,623,52158,281836,70132,30323,24428
